iter	Passed	Remaining
0	99	98969
1	197	98581
2	297	98797
3	389	96956
4	486	96875
5	574	95234
6	663	94117
7	752	93252
8	838	92349
9	927	91822
10	1014	91228
11	1097	90358
12	1180	89612
13	1271	89547
14	1355	89027
15	1440	88597
16	1524	88167
17	1606	87659
18	1689	87241
19	1768	86677
20	1847	86142
21	1925	85594
22	2016	85643
23	2095	85203
24	2174	84794
25	2258	84618
26	2337	84225
27	2422	84093
28	2502	83799
29	2582	83493
30	2663	83255
31	2747	83106
32	2825	82789
33	2903	82485
34	2982	82220
35	3065	82091
36	3144	81831
37	3221	81552
38	3299	81306
39	3381	81157
40	3458	80896
41	3537	80687
42	3619	80564
43	3704	80479
44	3789	80413
45	3867	80208
46	3946	80017
47	4025	79831
48	4108	79731
49	4195	79711
50	4275	79550
51	4355	79399
52	4441	79367
53	4521	79214
54	4600	79041
55	4678	78866
56	4756	78686
57	4834	78523
58	4912	78349
59	4992	78218
60	5070	78052
61	5152	77944
62	5236	77885
63	5315	77738
64	5399	77670
65	5478	77524
66	5556	77377
67	5635	77234
68	5713	77095
69	5798	77043
70	5877	76898
71	5963	76867
72	6042	76733
73	6120	76588
74	6205	76538
75	6289	76462
76	6367	76332
77	6446	76196
78	6526	76090
79	6605	75959
80	6682	75819
81	6761	75696
82	6839	75567
83	6918	75440
84	6995	75309
85	7074	75190
86	7153	75072
87	7232	74950
88	7318	74910
89	7402	74842
90	7479	74712
91	7564	74654
92	7644	74550
93	7721	74425
94	7799	74304
95	7877	74180
96	7958	74091
97	8036	73972
98	8114	73850
99	8191	73726
100	8273	73643
101	8352	73533
102	8440	73506
103	8527	73467
104	8605	73354
105	8683	73232
106	8760	73114
107	8839	73004
108	8921	72930
109	9000	72825
110	9081	72730
111	9166	72679
112	9252	72630
113	9331	72526
114	9422	72511
115	9501	72410
116	9579	72297
117	9658	72189
118	9735	72073
119	9813	71965
120	9891	71857
121	9970	71753
122	10053	71685
123	10132	71580
124	10210	71472
125	10290	71379
126	10368	71273
127	10447	71174
128	10532	71113
129	10617	71058
130	10705	71018
131	10793	70974
132	10871	70870
133	10949	70766
134	11033	70696
135	11119	70641
136	11196	70532
137	11274	70426
138	11352	70321
139	11432	70228
140	11510	70122
141	11588	70022
142	11670	69938
143	11748	69839
144	11825	69732
145	11906	69643
146	11986	69554
147	12065	69458
148	12145	69368
149	12228	69295
150	12315	69246
151	12404	69205
152	12486	69121
153	12564	69021
154	12644	68930
155	12724	68843
156	12803	68746
157	12881	68647
158	12965	68580
159	13045	68490
160	13123	68391
161	13201	68290
162	13280	68195
163	13369	68150
164	13448	68055
165	13526	67959
166	13604	67859
167	13690	67799
168	13774	67732
169	13852	67634
170	13930	67536
171	14009	67440
172	14086	67338
173	14164	67242
174	14244	67154
175	14322	67057
176	14404	66977
177	14484	66889
178	14571	66834
179	14649	66735
180	14727	66637
181	14805	66543
182	14883	66445
183	14960	66345
184	15041	66264
185	15120	66170
186	15201	66091
187	15278	65991
188	15356	65892
189	15435	65801
190	15513	65707
191	15590	65610
192	15668	65516
193	15748	65428
194	15827	65339
195	15906	65249
196	15985	65158
197	16063	65064
198	16141	64973
199	16219	64878
200	16297	64786
201	16376	64696
202	16458	64617
203	16539	64538
204	16617	64442
205	16694	64348
206	16772	64254
207	16850	64161
208	16928	64069
209	17005	63974
210	17086	63892
211	17166	63806
212	17249	63733
213	17327	63641
214	17405	63550
215	17485	63466
216	17564	63378
217	17644	63293
218	17725	63212
219	17803	63121
220	17882	63033
221	17969	62975
222	18049	62889
223	18128	62801
224	18211	62728
225	18293	62651
226	18371	62559
227	18449	62468
228	18530	62388
229	18608	62297
230	18686	62207
231	18764	62115
232	18843	62028
233	18921	61940
234	19005	61870
235	19092	61807
236	19169	61714
237	19251	61636
238	19329	61546
239	19406	61454
240	19492	61388
241	19571	61301
242	19656	61233
243	19740	61161
244	19822	61085
245	19902	61001
246	19980	60910
247	20060	60828
248	20139	60742
249	20219	60658
250	20300	60576
251	20381	60498
252	20461	60412
253	20540	60328
254	20622	60250
255	20711	60194
256	20791	60109
257	20869	60020
258	20947	59931
259	21029	59851
260	21115	59787
261	21200	59716
262	21284	59643
263	21362	59554
264	21442	59471
265	21526	59400
266	21604	59311
267	21683	59223
268	21761	59135
269	21839	59047
270	21916	58956
271	21994	58867
272	22073	58781
273	22159	58715
274	22239	58630
275	22317	58543
276	22400	58466
277	22479	58382
278	22559	58298
279	22639	58214
280	22717	58128
281	22803	58059
282	22886	57983
283	22964	57896
284	23042	57808
285	23120	57720
286	23199	57635
287	23277	57545
288	23354	57456
289	23432	57368
290	23512	57286
291	23591	57200
292	23669	57113
293	23757	57049
294	23835	56962
295	23913	56875
296	23996	56800
297	24075	56715
298	24153	56628
299	24241	56562
300	24319	56475
301	24397	56387
302	24475	56302
303	24554	56216
304	24631	56127
305	24709	56041
306	24788	55954
307	24875	55889
308	24958	55813
309	25039	55733
310	25123	55659
311	25212	55597
312	25291	55512
313	25375	55438
314	25454	55353
315	25537	55276
316	25614	55189
317	25692	55102
318	25770	55014
319	25850	54933
320	25928	54846
321	26009	54764
322	26089	54682
323	26167	54597
324	26249	54518
325	26328	54433
326	26408	54351
327	26489	54270
328	26574	54199
329	26653	54113
330	26729	54025
331	26809	53942
332	26897	53875
333	26980	53799
334	27067	53730
335	27153	53660
336	27241	53593
337	27320	53508
338	27407	53440
339	27487	53359
340	27566	53274
341	27653	53204
342	27731	53118
343	27810	53034
344	27889	52949
345	27968	52865
346	28047	52780
347	28124	52693
348	28202	52606
349	28279	52519
350	28357	52432
351	28434	52345
352	28516	52266
353	28595	52182
354	28673	52096
355	28750	52009
356	28829	51925
357	28910	51845
358	28989	51760
359	29067	51676
360	29146	51591
361	29229	51514
362	29307	51428
363	29385	51343
364	29466	51263
365	29556	51199
366	29636	51117
367	29722	51045
368	29800	50959
369	29879	50875
370	29961	50797
371	30039	50712
372	30117	50626
373	30197	50544
374	30278	50464
375	30357	50380
376	30442	50307
377	30523	50226
378	30610	50155
379	30689	50072
380	30769	49990
381	30850	49910
382	30937	49839
383	31019	49759
384	31097	49675
385	31178	49594
386	31256	49510
387	31334	49424
388	31413	49341
389	31494	49261
390	31579	49186
391	31658	49102
392	31737	49019
393	31822	48945
394	31901	48862
395	31982	48780
396	32060	48696
397	32138	48611
398	32216	48526
399	32295	48442
400	32372	48357
401	32454	48278
402	32538	48201
403	32619	48121
404	32697	48036
405	32775	47952
406	32854	47868
407	32932	47783
408	33010	47700
409	33089	47616
410	33170	47535
411	33248	47451
412	33326	47366
413	33405	47283
414	33485	47202
415	33568	47124
416	33649	47044
417	33727	46960
418	33813	46887
419	33902	46817
420	33983	46737
421	34089	46691
422	34174	46616
423	34258	46540
424	34340	46460
425	34422	46381
426	34503	46301
427	34585	46221
428	34673	46150
429	34759	46076
430	34839	45995
431	34917	45909
432	35000	45831
433	35091	45763
434	35174	45687
435	35262	45614
436	35354	45548
437	35437	45469
438	35517	45388
439	35602	45312
440	35682	45230
441	35762	45148
442	35844	45068
443	35933	44997
444	36021	44926
445	36117	44863
446	36235	44828
447	36327	44760
448	36412	44684
449	36503	44615
450	36599	44552
451	36718	44517
452	36798	44434
453	36878	44352
454	36967	44279
455	37066	44219
456	37151	44143
457	37238	44068
458	37323	43991
459	37411	43917
460	37496	43840
461	37585	43768
462	37669	43689
463	37751	43609
464	37833	43528
465	37918	43452
466	37997	43367
467	38087	43295
468	38184	43231
469	38272	43158
470	38351	43074
471	38427	42987
472	38504	42900
473	38584	42817
474	38673	42743
475	38760	42668
476	38845	42591
477	38926	42510
478	39010	42430
479	39086	42344
480	39165	42259
481	39244	42175
482	39319	42087
483	39403	42008
484	39487	41929
485	39568	41848
486	39650	41767
487	39736	41691
488	39821	41612
489	39902	41530
490	39988	41454
491	40076	41379
492	40161	41302
493	40238	41216
494	40409	41225
495	40531	41184
496	40634	41124
497	40737	41065
498	40839	41003
499	40941	40941
500	41036	40873
501	41129	40801
502	41246	40754
503	41338	40682
504	41425	40604
505	41520	40535
506	41620	40471
507	41718	40404
508	41808	40329
509	41904	40261
510	41998	40190
511	42084	40111
512	42175	40038
513	42265	39963
514	42355	39888
515	42444	39812
516	42541	39743
517	42640	39676
518	42732	39603
519	42820	39526
520	42909	39450
521	43008	39383
522	43107	39316
523	43200	39243
524	43292	39169
525	43392	39102
526	43488	39031
527	43584	38962
528	43676	38888
529	43822	38861
530	43938	38807
531	44026	38730
532	44130	38666
533	44245	38611
534	44376	38569
535	44507	38529
536	44611	38463
537	44703	38388
538	44792	38310
539	44880	38231
540	44969	38153
541	45068	38083
542	45162	38010
543	45254	37933
544	45370	37878
545	45460	37800
546	45556	37727
547	45644	37648
548	45732	37568
549	45828	37495
550	45921	37420
551	46016	37346
552	46104	37267
553	46199	37193
554	46289	37114
555	46378	37035
556	46466	36956
557	46559	36880
558	46646	36800
559	46738	36722
560	46824	36641
561	46914	36562
562	47001	36482
563	47128	36432
564	47289	36408
565	47400	36345
566	47524	36292
567	47652	36242
568	47747	36167
569	47859	36104
570	47964	36036
571	48065	35964
572	48172	35898
573	48261	35817
574	48350	35737
575	48441	35658
576	48528	35576
577	48628	35503
578	48721	35426
579	48817	35350
580	48909	35272
581	49004	35195
582	49105	35123
583	49197	35044
584	49282	34960
585	49371	34879
586	49457	34796
587	49553	34721
588	49650	34645
589	49737	34563
590	49817	34475
591	49906	34395
592	49990	34310
593	50071	34223
594	50153	34138
595	50241	34056
596	50332	33976
597	50421	33895
598	50516	33818
599	50597	33731
600	50680	33646
601	50763	33561
602	50842	33473
603	50920	33385
604	51002	33299
