iter	Logloss
0	0.6807789736
1	0.6684929656
2	0.6561480715
3	0.6438716069
4	0.6334553287
5	0.623059256
6	0.6099802115
7	0.6018281011
8	0.5926756131
9	0.5800334441
10	0.5719610012
11	0.5642465736
12	0.5569440514
13	0.549634028
14	0.5428216126
15	0.5360173628
16	0.527194974
17	0.5215982688
18	0.5150380648
19	0.5083803032
20	0.5039451684
21	0.4980432144
22	0.4936035903
23	0.4886029698
24	0.4833506011
25	0.4790309463
26	0.4746487176
27	0.4691995608
28	0.4649416174
29	0.4603964989
30	0.4553262583
31	0.4515048437
32	0.4474661058
33	0.4433209289
34	0.4387465648
35	0.4335190131
36	0.4302661408
37	0.4269570102
38	0.4242410725
39	0.4211116378
40	0.4187788552
41	0.4158692198
42	0.4113877166
43	0.4087122674
44	0.406693972
45	0.4042815498
46	0.4023330988
47	0.3998585688
48	0.3983454084
49	0.3946059831
50	0.3921898738
51	0.3904408301
52	0.3880786511
53	0.3855188906
54	0.3844494014
55	0.3804241389
56	0.3787615907
57	0.3767261024
58	0.3746556098
59	0.3718809948
60	0.3701933036
61	0.3668389517
62	0.3651563647
63	0.3638448881
64	0.361573487
65	0.3596343221
66	0.3580268334
67	0.3562152562
68	0.3541634152
69	0.3529900252
70	0.3514098915
71	0.35041078
72	0.3494241832
73	0.3482888666
74	0.3470925911
75	0.3458817462
76	0.3440244161
77	0.3426098277
78	0.3413108261
79	0.3400491273
80	0.3384539124
81	0.336734206
82	0.3355484073
83	0.3344516624
84	0.3332525904
85	0.3323634182
86	0.3305614011
87	0.3298082421
88	0.3288176633
89	0.3271142061
90	0.3259775809
91	0.3247676914
92	0.3242407328
93	0.3231914723
94	0.322038364
95	0.3210025819
96	0.3201709776
97	0.3186869043
98	0.3178483064
99	0.3165804237
100	0.3151346791
101	0.3142069451
102	0.3134086771
103	0.3127221062
104	0.3119376741
105	0.3110051369
106	0.3098161991
107	0.3085795231
108	0.307738953
109	0.3067097117
110	0.3057270539
111	0.3045782765
112	0.3039787407
113	0.3033563192
114	0.3025776044
115	0.3015227029
116	0.3009991606
117	0.3003604305
118	0.2997248713
119	0.2986434814
120	0.2972508035
121	0.2967269644
122	0.2957859121
123	0.2951532788
124	0.2945962915
125	0.293628812
126	0.2929695557
127	0.2923205339
128	0.2917826872
129	0.2913159003
130	0.2906090792
131	0.2892652778
132	0.2889957912
133	0.2885337584
134	0.2879464125
135	0.2873556329
136	0.2864798972
137	0.2858286266
138	0.2852804837
139	0.2848969966
140	0.2843872665
141	0.2838230185
142	0.2833793706
143	0.283065361
144	0.2826012347
145	0.2816752384
146	0.2803981879
147	0.2798891649
148	0.2789130854
149	0.2784473827
150	0.277990294
151	0.2775050991
152	0.2769531569
153	0.27632689
154	0.2755471219
155	0.2751230046
156	0.2743292525
157	0.2734713262
158	0.2726976463
159	0.2722080697
160	0.2715732498
161	0.271079584
162	0.2705762685
163	0.2701372076
164	0.2696451124
165	0.2691716523
166	0.2687802263
167	0.2682498711
168	0.2672710067
169	0.2667410651
170	0.2663642919
171	0.2660911989
172	0.2655357055
173	0.2653163122
174	0.2645853029
175	0.2641217929
176	0.263677811
177	0.263485017
178	0.2623763363
179	0.2620293381
180	0.2615050479
181	0.2609556651
182	0.2603058658
183	0.2596970153
184	0.2593517091
185	0.2589220311
186	0.2586094913
187	0.2582039883
188	0.2579001735
189	0.2571529061
190	0.2567132121
191	0.2565121952
192	0.256066311
193	0.2557613648
194	0.2553742134
195	0.2550104449
196	0.2546207153
197	0.2541466485
198	0.2538356385
199	0.2532084277
200	0.252936387
201	0.2524896173
202	0.2522406152
203	0.2511960231
204	0.2503532888
205	0.2499428523
206	0.2496745853
207	0.2491051262
208	0.2489644549
209	0.2485404101
210	0.2482850019
211	0.2480105482
212	0.2477419569
213	0.2474279609
214	0.2470993078
215	0.2463272039
216	0.2460997966
217	0.2458143969
218	0.2456142839
219	0.2454692857
220	0.2449727378
221	0.2447268071
222	0.2439166627
223	0.24323847
224	0.2428095079
225	0.2425666011
226	0.2422689738
227	0.2420499427
228	0.2417376929
229	0.2410932581
230	0.2407580044
231	0.2405436913
232	0.2402940558
233	0.2400954922
234	0.2399085503
235	0.239460224
236	0.2392535101
237	0.2389696633
238	0.2387970507
239	0.2385875719
240	0.2383393106
241	0.2379804203
242	0.2377910331
243	0.2375501774
244	0.2373423997
245	0.2371909546
246	0.2370168224
247	0.2367835867
248	0.2365025503
249	0.2363208966
250	0.2360787498
251	0.2359118914
252	0.2353125785
253	0.235128014
254	0.2349487813
255	0.2345064251
256	0.2340172422
257	0.2335836492
258	0.2333262166
259	0.2330490479
260	0.2328727982
261	0.2324807385
262	0.2321367643
263	0.2318779869
264	0.2317260436
265	0.2315813775
266	0.2313579829
267	0.2307397865
268	0.2304828993
269	0.2303711875
270	0.2302157437
271	0.230044128
272	0.229836809
273	0.2296221556
274	0.2289390493
275	0.2285410548
276	0.2284328122
277	0.2282990755
278	0.2282040411
279	0.2278809954
280	0.2276681124
281	0.22748258
282	0.2273439253
283	0.2269868606
284	0.2266729435
285	0.2264692358
286	0.2263181542
287	0.2261603371
288	0.2260603152
289	0.2254219351
290	0.2251321165
291	0.22497718
292	0.224713668
293	0.2243022376
294	0.224088196
295	0.2239235551
296	0.2237134659
297	0.2234081792
298	0.2231694574
299	0.2230297845
300	0.2228930906
301	0.2226545579
302	0.2223190751
303	0.2222129588
304	0.2219919917
305	0.221818939
306	0.2217182331
307	0.2216150749
308	0.2214956707
309	0.221210291
310	0.2209476392
311	0.2202059024
312	0.2200629941
313	0.2199429767
314	0.2198119227
315	0.2195038507
316	0.2193876369
317	0.2192061051
318	0.2190927558
319	0.2187538431
320	0.2182424356
321	0.2181090382
322	0.2178028393
323	0.2176821836
324	0.2175092841
325	0.2173567971
326	0.2171956246
327	0.2170546095
328	0.216901223
329	0.2163611193
330	0.2162521897
331	0.2160745125
332	0.2159330285
333	0.2156319784
334	0.2153864022
335	0.2151138385
336	0.2149934123
337	0.2148938218
338	0.2147125333
339	0.2146010515
340	0.214342902
341	0.2142313898
342	0.2140194903
343	0.213899128
344	0.2137099897
345	0.2133719899
346	0.2132027628
347	0.2131097091
348	0.212916279
349	0.2125072829
350	0.2124017356
351	0.21228139
352	0.2120468866
353	0.2116022878
354	0.2114911584
355	0.2111275864
356	0.2110213847
357	0.2109373366
358	0.2107916428
359	0.2105001234
360	0.2101764033
361	0.2099031428
362	0.2098056843
363	0.209736911
364	0.2095846037
365	0.2094908371
366	0.2093155263
367	0.2091995713
368	0.2089942538
369	0.2085651941
370	0.2084551124
371	0.2079787611
372	0.2076378055
373	0.2075920997
374	0.2071934931
375	0.2067177525
376	0.206585686
377	0.2063678882
378	0.2062558426
379	0.2056694302
380	0.2055914654
381	0.2054389409
382	0.205177749
383	0.2050191981
384	0.204701953
385	0.204576027
386	0.2044119703
387	0.2042588075
388	0.2041477704
389	0.2038001555
390	0.2035717365
391	0.2032176878
392	0.2030180195
393	0.2028680379
394	0.2027572334
395	0.2026139864
396	0.2023552083
397	0.2022495746
398	0.2021608161
399	0.2020675861
400	0.2018807284
401	0.2016223737
402	0.2015555705
403	0.2014840508
404	0.2013424326
405	0.2011214482
406	0.2008367147
407	0.2007131944
408	0.2005784998
409	0.2004576172
410	0.2003128079
411	0.2001964255
412	0.2000877893
413	0.1999507317
414	0.1996812666
415	0.1995578094
416	0.1994605913
417	0.1991746379
418	0.1991405187
419	0.1990682833
420	0.1988021569
421	0.1986673047
422	0.1984929713
423	0.1983909472
424	0.198266104
425	0.1979532646
426	0.1978349498
427	0.1975083824
428	0.1974142429
429	0.1972132273
430	0.1971368564
431	0.1970384783
432	0.1969153599
433	0.1968253692
434	0.196476265
435	0.1963680261
436	0.1959464097
437	0.1958518637
438	0.1954067035
439	0.1952103692
440	0.1951091138
441	0.1949003824
442	0.1947811926
443	0.1946845178
444	0.1946141252
445	0.19431668
446	0.1939684433
447	0.1938771869
448	0.1934238943
449	0.193364204
450	0.1932853673
451	0.1930325952
452	0.1927829592
453	0.1926379714
454	0.1925793157
455	0.1923491846
456	0.1921320837
457	0.191687084
458	0.1915762261
459	0.1914255791
460	0.1912571723
461	0.1911882998
462	0.1910000363
463	0.1909498623
464	0.1907963333
465	0.1906522382
466	0.1905767488
467	0.1904383009
468	0.1903950737
469	0.1902518199
470	0.1901559964
471	0.1900235279
472	0.1899448552
473	0.1898286958
474	0.1897684074
475	0.1895213444
476	0.189290929
477	0.1892349044
478	0.1891381262
479	0.1889340363
480	0.1886747154
481	0.1882044737
482	0.188130246
483	0.1879229173
484	0.1877621908
485	0.1876750262
486	0.1870697975
487	0.1869575373
488	0.1868725849
489	0.1867814602
490	0.1866030512
491	0.1864593833
492	0.1863901149
493	0.1861979459
494	0.1861177711
495	0.186051106
496	0.1859145229
497	0.1858114512
498	0.1857054062
499	0.1852862771
500	0.18513776
501	0.1849897704
502	0.1847743779
503	0.1846927827
504	0.1844414455
505	0.1843498042
506	0.1842846363
507	0.1839844001
508	0.183691194
509	0.1836365974
510	0.183365892
511	0.1833119752
512	0.1830791649
513	0.1827852559
514	0.1826870795
515	0.1825752316
516	0.1824579991
517	0.1823563993
518	0.1822713196
519	0.1821937222
520	0.1820394349
521	0.1817820847
522	0.1817218731
523	0.1814636073
524	0.1813980024
525	0.1810413346
526	0.1809892955
527	0.1808888609
528	0.1808016831
529	0.1807405747
530	0.1805863824
531	0.1804712806
532	0.1803627821
533	0.1802905375
534	0.1801922714
535	0.1800513051
536	0.179970798
537	0.1799035324
538	0.1797309679
539	0.17956072
540	0.1793366465
541	0.1791912475
542	0.1788121093
543	0.1784404719
544	0.1783281707
545	0.1782531308
546	0.1781663136
547	0.1780932615
548	0.1779434683
549	0.1778947608
550	0.1778218159
551	0.1776988892
552	0.1775982121
553	0.1775169456
554	0.1773202453
555	0.177276714
556	0.1772213434
557	0.1771828832
558	0.1771399778
559	0.1766020953
560	0.1764897145
561	0.1763179395
562	0.1762139991
563	0.1761095023
564	0.1760636843
565	0.1757636763
566	0.1756743134
567	0.175391604
568	0.1753229353
569	0.1752686743
570	0.1751867493
571	0.1750339948
572	0.1749419912
573	0.1749027007
574	0.1748236349
575	0.1747564202
576	0.1744702036
577	0.1742717972
578	0.1741774023
579	0.1738969629
580	0.1736923327
581	0.1733688402
582	0.1733097118
583	0.1732305944
584	0.1731729606
585	0.1730622013
586	0.1728133372
587	0.1726761027
588	0.1725693805
589	0.172499678
590	0.1724081441
591	0.1723211073
592	0.1722406228
593	0.1721665643
594	0.1720783673
595	0.1720019073
596	0.1719146528
597	0.1718667268
598	0.1715836212
599	0.1715395151
600	0.1714129477
601	0.1713494274
602	0.1709844008
603	0.1709379951
604	0.170787514
605	0.1705108942
606	0.1704374234
607	0.170218289
608	0.1700600511
609	0.1699818156
610	0.1698846642
611	0.169620873
612	0.1694575283
613	0.1693521758
614	0.1689518763
615	0.1687985029
616	0.1687229884
617	0.1686453555
618	0.1685012054
619	0.1684106168
620	0.1683197473
621	0.168178937
622	0.1678463347
623	0.1677240974
624	0.1675787933
625	0.1674488858
626	0.1672349049
627	0.1671693153
628	0.1669956435
629	0.1669422249
630	0.1665803726
631	0.1665027654
632	0.1662394853
633	0.1661176901
634	0.166033545
635	0.1656474772
636	0.1655483715
637	0.1654743667
638	0.1652757207
639	0.1651800001
640	0.1650894913
641	0.1650055738
642	0.1648869494
643	0.1645779255
644	0.1645391593
645	0.1644841211
646	0.1643985912
647	0.1643553539
648	0.1639598548
649	0.1638943547
650	0.1637704192
651	0.163696146
652	0.1632659948
653	0.1631792159
654	0.163035994
655	0.1629623189
656	0.1628782293
657	0.1627769136
658	0.1624212502
659	0.1623320542
660	0.1620212482
661	0.1619795461
662	0.1618926883
663	0.161851408
664	0.1618116963
665	0.1616659602
666	0.1612864259
667	0.161207945
668	0.1611666515
669	0.1611037704
670	0.1606887474
671	0.1606508646
672	0.1606124047
673	0.1604751737
674	0.1604345065
675	0.1603942863
676	0.1603559158
677	0.1602321054
678	0.16006523
679	0.1599824109
680	0.1595791715
681	0.1595184875
682	0.1592288532
683	0.1591887584
684	0.1590197229
685	0.1589803308
686	0.158651417
687	0.1585684414
688	0.1582511081
689	0.1580785954
690	0.1577461263
691	0.1576730771
692	0.1574157379
693	0.1573487945
694	0.157154435
695	0.1568742579
696	0.1568358642
697	0.1567985157
698	0.1567138931
699	0.1563864637
700	0.1563475568
701	0.1560338892
702	0.1559674028
703	0.1558732147
704	0.1558348443
705	0.1557743261
706	0.1557159384
707	0.1554762046
708	0.1552933
709	0.1552559772
710	0.1551382717
711	0.154874595
712	0.1548113277
713	0.1543981483
714	0.15431607
715	0.1541761732
716	0.1541169964
717	0.1539587307
718	0.153921778
719	0.1538862431
720	0.1536121856
721	0.1532971605
722	0.1532605551
723	0.1532242798
724	0.1530182154
725	0.152918851
726	0.1528557653
727	0.1527385717
728	0.1527027306
729	0.1525694944
730	0.1524458849
731	0.1523371187
732	0.1520874537
733	0.1520171501
734	0.1519599766
735	0.1518994074
736	0.1518642966
737	0.1516671169
738	0.1516115296
739	0.1515416099
740	0.1515058327
741	0.151471514
742	0.151437359
743	0.1513674393
744	0.15107308
745	0.1508069893
746	0.1505611749
747	0.1502362306
748	0.1502017946
749	0.1501259855
750	0.1500917156
751	0.149972436
752	0.1498016314
753	0.14971683
754	0.149663708
755	0.1495027045
756	0.1490831408
757	0.1488378124
758	0.1488045641
759	0.1487712905
760	0.1486822345
761	0.1484864984
762	0.1484282796
763	0.1483446781
764	0.1482908514
765	0.1481514713
766	0.1481184532
767	0.1478843782
768	0.1476945178
769	0.1476160774
770	0.1475089622
771	0.1472992448
772	0.1472668268
773	0.147213245
774	0.1471558666
775	0.147076637
776	0.147044066
777	0.1470109714
778	0.1468516989
779	0.146642751
780	0.1464547397
781	0.1464229861
782	0.1463008578
