iter	Passed	Remaining
0	5	5691
1	9	4975
2	14	4719
3	18	4607
4	22	4509
5	26	4467
6	31	4426
7	35	4382
8	39	4355
9	43	4330
10	47	4299
11	51	4275
12	56	4268
13	60	4254
14	64	4262
15	70	4323
16	75	4364
17	79	4344
18	83	4332
19	88	4315
20	92	4333
21	97	4331
22	101	4317
23	105	4307
24	110	4293
25	114	4280
26	118	4268
27	122	4261
28	128	4287
29	133	4313
30	137	4303
31	141	4291
32	146	4280
33	150	4269
34	154	4267
35	159	4262
36	163	4252
37	167	4240
38	171	4234
39	176	4225
40	180	4216
41	184	4207
42	188	4205
43	193	4196
44	197	4187
45	201	4179
46	206	4180
47	210	4182
48	215	4172
49	220	4184
50	225	4188
51	229	4181
52	233	4174
53	237	4166
54	241	4157
55	246	4150
56	250	4142
57	254	4133
58	258	4125
59	262	4119
60	267	4113
61	271	4106
62	275	4099
63	279	4091
64	283	4084
65	288	4078
66	292	4071
67	296	4067
68	301	4063
69	305	4055
70	309	4049
71	313	4042
72	317	4035
73	322	4029
74	326	4024
75	330	4018
76	334	4013
77	338	4007
78	343	4001
79	347	3995
80	351	3990
81	355	3985
82	360	3980
83	364	3973
84	368	3967
85	373	3968
86	377	3964
87	382	3961
88	386	3955
89	390	3949
90	394	3944
91	399	3942
92	403	3936
93	407	3931
94	412	3925
95	416	3920
96	420	3914
97	424	3908
98	428	3903
99	433	3897
100	437	3891
101	441	3885
102	445	3880
103	450	3877
104	454	3871
105	458	3865
106	462	3860
107	466	3855
108	470	3849
109	475	3844
110	479	3839
111	483	3834
112	487	3828
113	491	3823
114	496	3819
115	500	3813
116	504	3807
117	508	3801
118	512	3797
119	517	3792
120	521	3787
121	525	3783
122	529	3778
123	534	3774
124	538	3768
125	542	3763
126	546	3759
127	551	3754
128	555	3749
129	559	3743
130	563	3738
131	567	3734
132	572	3729
133	576	3724
134	580	3719
135	584	3714
136	588	3709
137	593	3704
138	597	3699
139	601	3694
140	605	3689
141	609	3684
142	613	3679
143	618	3674
144	622	3669
145	626	3664
146	630	3659
147	635	3655
148	639	3650
149	643	3645
150	647	3640
151	652	3637
152	656	3632
153	660	3627
154	664	3622
155	668	3617
156	672	3612
157	677	3608
158	681	3603
159	685	3598
160	689	3593
161	693	3589
162	698	3584
163	702	3579
164	706	3574
165	710	3569
166	715	3569
167	720	3566
168	724	3562
169	728	3558
170	732	3553
171	737	3547
172	741	3543
173	745	3538
174	749	3533
175	753	3528
176	757	3523
177	761	3518
178	766	3513
179	770	3508
180	774	3503
181	778	3499
182	782	3494
183	786	3489
184	791	3485
185	795	3481
186	799	3475
187	803	3470
188	807	3466
189	812	3461
190	816	3457
191	820	3452
192	824	3448
193	828	3443
194	832	3438
195	837	3434
196	841	3429
197	845	3424
198	849	3419
199	853	3415
200	858	3410
201	862	3405
202	866	3400
203	870	3396
204	874	3392
205	878	3387
206	883	3382
207	887	3378
208	891	3373
209	895	3368
210	899	3364
211	903	3359
212	908	3355
213	912	3350
214	916	3346
215	920	3341
216	924	3336
217	928	3332
218	933	3327
219	937	3323
220	941	3318
221	945	3313
222	949	3309
223	954	3304
224	958	3300
225	962	3296
226	966	3292
227	970	3287
228	975	3283
229	979	3278
230	983	3274
231	987	3269
232	991	3265
233	996	3260
234	1000	3256
235	1004	3251
236	1008	3247
237	1012	3242
238	1016	3237
239	1021	3233
240	1025	3228
241	1029	3224
242	1033	3219
243	1037	3215
244	1041	3210
245	1045	3205
246	1050	3201
247	1054	3196
248	1058	3192
249	1062	3187
250	1066	3183
251	1070	3178
252	1075	3174
253	1079	3169
254	1083	3165
255	1087	3160
