iter	Passed	Remaining
0	96	95931
1	156	77943
2	217	72130
3	276	68765
4	337	67209
5	397	65932
6	455	64554
7	514	63788
8	575	63372
9	634	62807
10	692	62229
11	749	61699
12	809	61470
13	868	61153
14	925	60764
15	990	60909
16	1056	61085
17	1114	60811
18	1170	60440
19	1228	60202
20	1286	59990
21	1345	59792
22	1401	59521
23	1457	59257
24	1516	59130
25	1575	59034
26	1635	58937
27	1690	58701
28	1752	58674
29	1814	58660
30	1875	58611
31	1932	58458
32	1995	58460
33	2052	58327
34	2110	58196
35	2172	58172
36	2230	58058
37	2289	57969
38	2351	57932
39	2407	57791
40	2464	57642
41	2522	57533
42	2578	57377
43	2635	57261
44	2695	57209
45	2756	57167
46	2811	57011
47	2872	56964
48	2931	56899
49	2989	56800
50	3051	56775
51	3108	56662
52	3171	56670
53	3231	56609
54	3287	56486
55	3345	56398
56	3403	56314
57	3460	56203
58	3513	56040
59	3566	55882
60	3621	55744
61	3683	55725
62	3742	55666
63	3800	55588
64	3862	55554
65	3921	55488
66	3977	55387
67	4037	55335
68	4098	55297
69	4158	55245
70	4212	55124
71	4268	55020
72	4323	54899
73	4384	54863
74	4441	54776
75	4496	54663
76	4552	54576
77	4608	54478
78	4666	54405
79	4724	54329
80	4783	54277
81	4845	54249
82	4905	54194
83	4964	54134
84	5024	54088
85	5084	54039
86	5140	53942
87	5196	53858
88	5255	53797
89	5316	53753
90	5372	53661
91	5429	53585
92	5486	53511
93	5545	53448
94	5601	53366
95	5658	53282
96	5716	53216
97	5773	53137
98	5828	53045
99	5889	53003
100	5946	52928
101	6008	52899
102	6066	52829
103	6123	52752
104	6182	52695
105	6239	52623
106	6293	52524
107	6350	52449
108	6407	52380
109	6467	52326
110	6524	52252
111	6586	52220
112	6644	52156
113	6700	52078
114	6755	51989
115	6809	51896
116	6869	51845
117	6926	51769
118	6979	51672
119	7038	51613
120	7170	52086
121	7235	52069
122	7288	51968
123	7344	51884
124	7402	51817
125	7460	51748
126	7513	51647
127	7565	51543
128	7620	51452
129	7678	51386
130	7736	51321
131	7796	51270
132	7862	51255
133	7921	51196
134	7978	51119
135	8036	51053
136	8093	50982
137	8149	50907
138	8206	50832
139	8260	50743
140	8320	50693
141	8379	50630
142	8436	50559
143	8493	50486
144	8552	50431
145	8609	50357
146	8665	50281
147	8721	50209
148	8778	50138
149	8839	50090
150	8895	50014
151	8949	49931
152	9009	49873
153	9064	49795
154	9120	49718
155	9175	49640
156	9234	49581
157	9292	49519
158	9352	49468
159	9405	49378
160	9460	49301
161	9521	49252
162	9578	49185
163	9631	49095
164	9687	49023
165	9745	48963
166	9802	48893
167	9861	48839
168	9922	48789
169	9979	48725
170	10038	48667
171	10096	48601
172	10152	48533
173	10207	48454
174	10263	48384
175	10322	48326
176	10377	48253
177	10434	48188
178	10488	48108
179	10543	48033
180	10597	47950
181	10656	47896
182	10715	47837
183	10770	47764
184	10831	47718
185	10891	47663
186	10949	47603
187	11008	47549
188	11067	47490
189	11123	47419
190	11179	47352
191	11235	47284
192	11290	47207
193	11429	47484
194	11482	47401
195	11542	47345
196	11598	47278
197	11652	47197
198	11707	47123
199	11770	47082
200	11828	47021
201	11887	46962
202	11944	46894
203	12011	46869
204	12070	46810
205	12126	46740
206	12180	46661
207	12238	46602
208	12298	46544
209	12352	46468
210	12407	46396
211	12465	46334
212	12525	46279
213	12584	46222
214	12641	46155
215	12703	46110
216	12759	46040
217	12814	45968
218	12871	45900
219	12927	45832
220	12985	45774
221	13043	45709
222	13100	45646
223	13158	45585
224	13216	45522
225	13273	45460
226	13334	45409
227	13391	45343
228	13447	45276
229	13502	45204
230	13557	45133
231	13615	45071
232	13671	45004
233	13729	44944
234	13784	44873
235	13841	44807
236	13903	44759
237	13957	44686
238	14015	44628
239	14073	44567
240	14132	44510
241	14190	44448
242	14248	44387
243	14307	44328
244	14364	44264
245	14422	44206
246	14476	44132
247	14531	44064
248	14592	44011
249	14646	43938
250	14703	43876
251	14761	43816
252	14821	43760
253	14876	43693
254	14935	43634
255	14992	43570
256	15054	43523
257	15109	43453
258	15163	43384
259	15228	43342
260	15284	43275
261	15340	43210
262	15396	43146
263	15456	43091
264	15513	43028
265	15571	42967
266	15627	42903
267	15683	42836
268	15745	42787
269	15802	42724
270	15856	42654
271	15919	42608
272	15975	42543
273	16034	42486
274	16092	42426
275	16149	42362
276	16204	42296
277	16258	42225
278	16313	42158
279	16370	42096
280	16432	42045
281	16491	41989
282	16547	41923
283	16604	41863
284	16659	41795
285	16716	41733
286	16772	41668
287	16826	41598
288	16889	41550
289	16944	41483
290	17001	41422
291	17139	41556
292	17197	41497
293	17252	41429
294	17305	41356
295	17366	41304
296	17421	41237
297	17480	41179
298	17538	41117
299	17594	41053
300	17653	40997
301	17709	40930
302	17765	40867
303	17820	40800
304	17876	40734
305	17935	40676
306	17991	40613
307	18050	40554
308	18109	40498
309	18164	40430
310	18224	40374
311	18280	40311
312	18336	40246
313	18390	40178
314	18445	40112
315	18504	40054
316	18562	39993
317	18620	39935
318	18679	39877
319	18737	39816
320	18794	39755
321	18849	39688
322	18904	39623
323	18957	39553
324	19019	39502
325	19072	39432
326	19129	39369
327	19181	39299
328	19240	39240
329	19299	39184
330	19356	39122
331	19411	39057
332	19470	38999
333	19525	38934
334	19580	38869
335	19636	38806
336	19692	38741
337	19749	38680
338	19808	38623
339	19864	38560
340	19924	38505
341	19988	38457
342	20046	38397
343	20103	38337
344	20161	38278
345	20218	38216
346	20274	38153
347	20330	38090
348	20386	38028
349	20440	37961
350	20493	37892
351	20547	37826
352	20605	37766
353	20658	37699
354	20713	37634
355	20774	37580
356	20836	37528
357	20890	37463
358	20949	37405
359	21010	37352
360	21067	37290
361	21122	37227
362	21176	37161
363	21230	37095
364	21289	37038
365	21343	36971
366	21402	36914
367	21458	36853
368	21515	36792
369	21572	36732
370	21625	36664
371	21678	36597
372	21736	36538
373	21790	36473
374	21846	36411
375	21902	36348
376	21964	36297
377	22026	36245
378	22082	36181
379	22140	36124
380	22198	36065
381	22252	35999
382	22309	35940
383	22365	35878
384	22426	35824
385	22488	35771
386	22546	35713
387	22603	35652
388	22658	35589
389	22715	35530
390	22772	35468
391	22827	35405
392	22963	35468
393	23028	35418
394	23089	35364
395	23145	35303
396	23205	35247
397	23260	35182
398	23314	35117
399	23376	35064
400	23432	35002
401	23488	34940
402	23544	34878
403	23604	34823
404	23659	34758
405	23714	34695
406	23769	34632
407	23831	34578
408	23886	34515
409	23942	34454
410	24004	34401
411	24061	34340
412	24118	34279
413	24171	34214
414	24226	34150
415	24285	34093
416	24338	34026
417	24390	33960
418	24445	33896
419	24503	33837
420	24556	33772
421	24612	33711
422	24668	33649
423	24727	33592
424	24785	33532
425	24841	33472
426	24898	33411
427	24956	33353
428	25014	33294
429	25070	33233
430	25126	33171
431	25182	33110
432	25236	33046
433	25293	32985
434	25353	32930
435	25411	32871
436	25464	32806
437	25520	32745
438	25578	32686
439	25641	32634
440	25695	32570
441	25750	32508
442	25807	32449
443	25866	32391
444	25921	32329
445	25978	32269
446	26034	32208
447	26092	32149
448	26147	32087
449	26202	32024
450	26261	31967
451	26321	31911
452	26376	31849
453	26431	31787
454	26487	31726
455	26544	31666
456	26601	31606
457	26656	31545
458	26715	31487
459	26771	31426
460	26824	31363
461	26877	31298
462	26933	31237
463	26996	31185
464	27052	31124
465	27108	31064
466	27165	31005
467	27221	30944
468	27275	30880
469	27331	30821
470	27386	30759
471	27526	30792
472	27584	30734
473	27645	30678
474	27700	30616
475	27759	30558
476	27823	30506
477	27884	30450
478	27941	30391
479	28007	30341
480	28063	30280
481	28119	30219
482	28176	30160
483	28229	30095
484	28281	30030
485	28333	29966
486	28393	29909
487	28446	29845
488	28500	29783
489	28558	29723
490	28616	29665
491	28670	29603
492	28723	29539
493	28781	29480
494	28841	29423
495	28896	29362
496	28955	29304
497	29020	29253
498	29076	29193
499	29130	29130
500	29190	29073
501	29244	29011
502	29301	28951
503	29357	28891
504	29411	28828
505	29467	28769
506	29526	28710
507	29583	28651
508	29637	28589
509	29695	28531
510	29752	28471
511	29805	28408
512	29859	28346
513	29912	28282
514	29975	28228
515	30033	28171
516	30091	28112
517	30145	28050
518	30203	27992
519	30260	27932
520	30315	27871
521	30370	27810
522	30431	27754
523	30489	27696
524	30546	27637
525	30602	27577
526	30662	27520
527	30718	27460
528	30774	27400
529	30832	27342
530	30890	27283
531	30944	27222
532	31006	27167
533	31063	27107
534	31123	27050
535	31177	26989
536	31230	26927
537	31367	26936
538	31432	26884
539	31487	26822
540	31541	26761
541	31596	26699
542	31655	26641
543	31712	26582
544	31768	26522
545	31825	26462
546	31886	26406
547	31941	26345
548	32013	26298
549	32069	26238
550	32125	26178
551	32180	26117
552	32234	26055
553	32288	25994
554	32346	25935
555	32402	25875
556	32461	25817
557	32514	25755
558	32573	25697
559	32627	25635
560	32681	25574
561	32738	25515
562	32798	25458
563	32851	25395
564	32904	25333
565	32962	25274
566	33021	25217
567	33076	25156
568	33133	25097
569	33191	25038
570	33254	24984
571	33311	24925
572	33366	24864
573	33423	24805
574	33483	24748
575	33542	24690
576	33595	24629
577	33654	24571
578	33712	24512
579	33765	24450
580	33822	24391
581	33879	24332
582	33935	24272
583	33998	24218
584	34055	24159
585	34117	24103
586	34171	24042
587	34227	23982
588	34280	23920
589	34336	23860
590	34393	23801
591	34450	23742
592	34502	23680
593	34556	23619
594	34615	23561
