iter	Passed	Remaining
0	17	17112
1	44	22418
2	62	20805
3	72	18158
4	84	16890
5	96	16067
6	113	16123
7	129	16036
8	147	16231
9	160	15886
10	172	15506
11	183	15103
12	204	15541
13	215	15208
14	238	15675
15	251	15445
16	262	15203
17	276	15067
18	288	14918
19	305	14969
20	316	14735
21	327	14539
22	338	14385
23	353	14387
24	363	14188
25	375	14081
26	391	14119
27	403	14017
28	415	13899
29	424	13725
30	435	13601
31	444	13456
32	455	13359
33	470	13370
34	480	13256
35	492	13186
36	514	13389
37	526	13320
38	540	13323
39	552	13253
40	569	13325
41	587	13389
42	602	13401
43	614	13347
44	624	13255
45	655	13594
46	671	13624
47	698	13858
48	758	14720
49	817	15523
50	834	15522
51	848	15463
52	872	15583
53	884	15496
54	899	15456
55	913	15393
56	928	15364
57	943	15330
58	958	15289
59	970	15198
60	982	15130
61	996	15071
62	1007	14984
63	1022	14959
64	1035	14897
65	1048	14839
66	1064	14821
67	1079	14791
68	1092	14741
69	1112	14778
70	1128	14769
71	1141	14717
72	1152	14635
73	1165	14589
74	1178	14535
75	1191	14484
76	1203	14424
77	1213	14344
78	1226	14300
79	1238	14237
80	1249	14175
81	1260	14110
82	1273	14068
83	1285	14020
84	1296	13952
85	1308	13906
86	1320	13857
87	1331	13798
88	1341	13735
89	1354	13698
90	1368	13672
91	1378	13604
92	1390	13556
93	1401	13505
94	1411	13445
95	1421	13388
96	1433	13347
97	1443	13287
98	1453	13231
99	1464	13183
100	1474	13124
101	1484	13071
102	1495	13024
103	1505	12968
104	1516	12928
105	1528	12892
106	1537	12833
107	1550	12803
108	1561	12761
109	1570	12706
110	1582	12672
111	1593	12634
112	1603	12585
113	1615	12552
114	1626	12516
115	1636	12471
116	1648	12439
117	1659	12407
118	1669	12361
119	1680	12321
120	1691	12288
121	1701	12246
122	1713	12216
123	1725	12188
124	1734	12144
125	1746	12112
126	1757	12084
127	1767	12037
128	1778	12011
129	1790	11984
130	1801	11949
131	1811	11914
132	1824	11894
133	1836	11867
134	1845	11825
135	1857	11799
136	1868	11767
137	1878	11731
138	1890	11712
139	1901	11680
140	1912	11651
141	1924	11630
142	1937	11613
143	1948	11580
144	1958	11548
145	1971	11529
146	1983	11508
147	1992	11471
148	2005	11455
149	2018	11436
150	2029	11413
151	2040	11381
152	2051	11358
153	2062	11329
154	2078	11333
155	2093	11329
156	2105	11305
157	2118	11291
158	2129	11263
159	2138	11228
160	2150	11204
161	2161	11178
162	2171	11150
163	2183	11129
164	2193	11099
165	2202	11064
166	2213	11040
167	2223	11011
168	2233	10984
169	2246	10966
170	2257	10943
171	2266	10912
172	2278	10890
173	2287	10857
174	2297	10830
175	2308	10809
176	2317	10774
177	2329	10757
178	2339	10730
179	2348	10699
180	2360	10680
181	2370	10652
182	2380	10625
183	2391	10603
184	2400	10573
185	2411	10552
186	2422	10530
187	2430	10499
188	2443	10484
189	2454	10463
190	2463	10432
191	2475	10417
192	2484	10390
193	2494	10364
194	2506	10348
195	2515	10320
196	2525	10295
197	2537	10277
198	2546	10248
199	2557	10228
200	2567	10204
201	2576	10179
202	2589	10164
203	2600	10146
204	2610	10121
205	2622	10109
206	2634	10091
207	2645	10071
208	2655	10050
209	2668	10037
210	2678	10015
211	2690	10002
212	2722	10058
213	2738	10057
214	2750	10041
215	2761	10024
216	2771	10000
217	2784	9988
218	2795	9968
219	2805	9945
220	2820	9941
221	2887	10118
222	2901	10108
223	2923	10128
224	2933	10104
225	2944	10082
226	2952	10053
227	2961	10028
228	2970	10001
229	2980	9978
230	2989	9953
231	2999	9928
232	3007	9901
233	3016	9876
234	3026	9852
235	3035	9827
236	3047	9810
237	3060	9799
238	3072	9784
239	3085	9771
240	3098	9759
241	3109	9740
242	3119	9716
243	3133	9707
244	3145	9694
245	3157	9678
246	3166	9654
247	3176	9631
248	3186	9612
249	3197	9592
250	3206	9567
251	3216	9546
252	3224	9521
253	3233	9497
254	3242	9472
255	3252	9452
256	3261	9430
257	3269	9404
258	3279	9381
259	3287	9357
260	3297	9335
261	3305	9310
262	3313	9285
263	3322	9261
264	3332	9243
265	3342	9224
266	3352	9204
267	3362	9184
268	3370	9160
269	3379	9136
270	3387	9113
271	3396	9091
272	3405	9069
273	3415	9049
274	3425	9029
275	3433	9007
276	3442	8985
277	3451	8964
278	3461	8944
279	3470	8924
280	3479	8901
281	3488	8881
282	3496	8858
283	3506	8840
284	3515	8820
285	3524	8799
286	3533	8778
287	3543	8759
288	3553	8743
289	3563	8725
290	3578	8717
291	3588	8700
292	3597	8679
293	3605	8658
294	3614	8638
295	3622	8615
296	3630	8594
297	3639	8572
298	3646	8550
299	3655	8528
300	3663	8507
301	3671	8485
302	3679	8465
303	3688	8443
304	3696	8422
305	3704	8401
306	3712	8380
307	3720	8358
308	3728	8338
309	3736	8317
310	3744	8296
311	3752	8275
312	3760	8254
313	3769	8234
314	3777	8214
315	3786	8195
316	3794	8174
317	3802	8154
318	3812	8139
319	3822	8123
320	3831	8105
321	3840	8086
322	3849	8068
323	3857	8048
324	3865	8029
325	3874	8011
326	3883	7992
327	3892	7974
328	3900	7954
329	3909	7936
330	3917	7918
331	3926	7899
332	3934	7880
333	3943	7862
334	3952	7845
335	3961	7828
336	3971	7813
337	3980	7796
338	3990	7780
339	3999	7764
340	4015	7759
341	4026	7746
342	4037	7733
343	4049	7721
344	4060	7708
345	4074	7701
346	4085	7688
347	4098	7678
348	4109	7665
349	4119	7650
350	4129	7635
351	4139	7620
352	4148	7603
353	4157	7586
354	4166	7569
355	4175	7553
356	4184	7536
357	4195	7523
358	4207	7512
359	4218	7499
360	4229	7487
361	4239	7471
362	4247	7453
363	4257	7438
364	4266	7422
365	4275	7406
366	4284	7390
367	4294	7375
368	4305	7361
369	4314	7345
370	4323	7329
371	4331	7313
372	4340	7296
373	4350	7281
374	4358	7264
375	4367	7248
376	4377	7234
377	4386	7218
378	4396	7204
379	4405	7187
380	4414	7172
381	4424	7158
382	4434	7143
383	4443	7128
384	4452	7112
385	4461	7096
386	4469	7080
387	4480	7067
388	4489	7051
389	4498	7036
390	4507	7020
391	4516	7005
392	4526	6991
393	4537	6978
394	4546	6963
395	4556	6949
396	4566	6935
397	4575	6920
398	4584	6905
399	4593	6890
400	4601	6874
401	4610	6857
402	4618	6841
403	4626	6825
404	4635	6809
405	4643	6793
406	4651	6777
407	4659	6761
408	4668	6745
409	4675	6728
410	4685	6715
411	4694	6699
412	4704	6686
413	4714	6673
414	4724	6659
415	4734	6647
416	4746	6636
417	4754	6619
418	4763	6605
419	4771	6589
420	4782	6577
421	4791	6562
422	4800	6547
423	4808	6532
424	4817	6517
425	4825	6502
426	4833	6485
427	4841	6470
428	4849	6454
429	4857	6439
430	4866	6424
431	4874	6408
432	4882	6393
433	4890	6377
434	4898	6362
435	4906	6347
436	4914	6331
437	4922	6316
438	4930	6301
439	4939	6286
440	4949	6273
441	4962	6264
442	4979	6261
443	4991	6250
444	5001	6238
445	5013	6227
446	5023	6215
447	5033	6201
448	5041	6187
449	5050	6172
450	5059	6158
451	5067	6144
452	5076	6129
453	5085	6115
454	5093	6101
455	5101	6086
456	5110	6072
457	5119	6058
458	5128	6044
459	5136	6030
460	5145	6016
461	5154	6002
462	5162	5987
463	5171	5973
464	5179	5959
465	5187	5945
466	5197	5931
467	5207	5919
468	5216	5905
469	5225	5892
470	5236	5881
471	5245	5867
472	5255	5855
473	5264	5842
474	5274	5829
475	5283	5816
476	5292	5802
477	5301	5789
478	5309	5775
479	5319	5762
480	5327	5748
481	5336	5734
482	5345	5721
483	5353	5707
484	5362	5694
485	5370	5680
486	5379	5666
487	5388	5653
488	5396	5639
489	5404	5625
490	5413	5611
491	5421	5597
492	5429	5583
493	5438	5570
494	5446	5556
495	5455	5543
496	5463	5529
497	5471	5515
498	5479	5501
499	5487	5487
500	5495	5473
501	5503	5460
502	5512	5447
503	5522	5434
504	5530	5421
505	5539	5407
506	5547	5393
507	5555	5380
508	5564	5367
509	5572	5354
510	5580	5340
511	5589	5327
512	5597	5314
513	5605	5300
514	5614	5287
515	5622	5274
516	5631	5261
517	5641	5249
518	5649	5236
519	5659	5224
520	5668	5211
521	5677	5198
522	5688	5187
523	5697	5175
524	5707	5163
525	5716	5151
526	5726	5139
527	5736	5128
528	5745	5115
529	5755	5104
530	5766	5093
531	5776	5081
532	5785	5069
533	5794	5056
534	5803	5044
535	5812	5031
536	5822	5019
537	5831	5007
538	5840	4995
539	5850	4983
540	5859	4971
541	5869	4960
542	5877	4947
543	5886	4933
544	5894	4921
545	5902	4908
546	5911	4896
547	5920	4883
548	5928	4870
549	5936	4857
550	5946	4846
551	5958	4836
552	5968	4824
553	5977	4812
554	5987	4800
555	5995	4788
556	6006	4776
557	6014	4764
558	6023	4751
559	6031	4739
560	6039	4726
561	6048	4713
562	6057	4701
563	6065	4689
564	6075	4677
565	6084	4665
566	6093	4653
567	6101	4640
568	6109	4628
569	6118	4615
570	6127	4603
571	6136	4591
572	6145	4579
573	6154	4567
574	6163	4555
575	6171	4543
576	6180	4530
577	6189	4518
578	6198	4506
579	6206	4494
580	6215	4482
581	6224	4470
582	6232	4458
583	6241	4445
584	6251	4434
585	6259	4422
586	6268	4410
587	6277	4398
588	6285	4386
589	6294	4373
590	6302	4361
591	6311	4349
592	6320	4337
593	6328	4325
594	6337	4313
595	6345	4301
596	6353	4288
597	6361	4276
598	6369	4264
599	6377	4251
600	6388	4241
601	6399	4231
602	6409	4219
603	6419	4208
604	6427	4196
605	6436	4184
606	6444	4172
607	6454	4161
608	6463	4150
609	6472	4138
610	6481	4126
611	6490	4115
612	6500	4103
613	6509	4091
614	6517	4080
615	6526	4068
616	6534	4056
617	6542	4044
618	6551	4032
619	6560	4020
620	6569	4009
621	6578	3997
622	6588	3987
623	6598	3976
624	6607	3964
625	6617	3953
626	6627	3942
627	6636	3931
628	6645	3919
629	6654	3908
630	6663	3896
631	6673	3885
632	6682	3874
633	6690	3862
634	6699	3850
635	6707	3839
636	6716	3827
637	6725	3815
638	6734	3804
639	6743	3793
640	6752	3781
641	6761	3770
642	6769	3758
643	6778	3747
644	6786	3735
645	6795	3723
646	6804	3712
647	6813	3700
648	6822	3689
649	6831	3678
650	6841	3667
651	6851	3656
652	6861	3646
653	6872	3635
654	6881	3624
655	6891	3613
656	6901	3603
657	6912	3592
658	6925	3583
659	6935	3572
660	6945	3562
661	6957	3552
662	6967	3541
663	6976	3530
664	6987	3519
665	6996	3508
