iter	Passed	Remaining
0	39	79737
1	51	52440
2	70	47365
3	82	41834
4	95	38766
5	108	36557
6	117	33968
7	130	32936
8	142	31984
9	153	30868
10	165	30384
11	183	30818
12	197	30586
13	212	30594
14	227	30419
15	239	30122
16	255	30146
17	265	29620
18	278	29360
19	291	29254
20	301	28798
21	315	28706
22	328	28563
23	341	28506
24	351	28095
25	364	28051
26	376	27887
27	390	27850
28	403	27774
29	416	27678
30	427	27504
31	438	27337
32	449	27161
33	462	27061
34	475	27007
35	486	26858
36	497	26740
37	509	26659
38	521	26555
39	531	26358
40	544	26349
41	556	26275
42	566	26094
43	579	26088
44	591	26040
45	604	26000
46	613	25833
47	624	25736
48	633	25531
49	648	25613
50	661	25597
51	672	25528
52	684	25466
53	696	25437
54	711	25490
55	723	25436
56	738	25498
57	746	25325
58	759	25299
59	771	25270
60	780	25132
61	791	25046
62	801	24958
63	812	24882
64	823	24823
65	834	24757
66	843	24647
67	856	24643
68	872	24735
69	885	24720
70	895	24638
71	909	24675
72	928	24828
73	942	24845
74	956	24869
75	972	24929
76	986	24962
77	1001	24995
78	1018	25091
79	1047	25465
80	1075	25807
81	1096	25977
82	1110	25984
83	1125	26001
84	1138	25980
85	1150	25935
86	1164	25950
87	1176	25898
88	1188	25842
89	1198	25772
90	1208	25694
91	1218	25591
92	1227	25501
93	1237	25424
94	1246	25327
95	1258	25278
96	1265	25157
97	1274	25055
98	1282	24958
99	1290	24849
100	1299	24760
101	1308	24672
102	1317	24587
103	1329	24549
104	1340	24520
105	1350	24457
106	1360	24393
107	1372	24354
108	1382	24295
109	1392	24246
110	1402	24176
111	1409	24078
112	1420	24033
113	1430	23977
114	1441	23943
115	1452	23909
116	1463	23868
117	1475	23839
118	1485	23786
119	1495	23742
120	1505	23693
121	1514	23623
122	1524	23579
123	1534	23519
124	1544	23471
125	1555	23441
126	1565	23390
127	1576	23365
128	1588	23340
129	1598	23303
130	1607	23235
131	1616	23176
132	1626	23132
133	1635	23083
134	1644	23028
135	1655	22987
136	1664	22939
137	1674	22901
138	1685	22868
139	1693	22806
140	1702	22744
141	1714	22737
142	1726	22723
143	1738	22706
144	1748	22666
145	1758	22627
146	1767	22582
147	1777	22539
148	1786	22489
149	1795	22443
150	1803	22384
151	1814	22353
152	1822	22298
153	1834	22284
154	1844	22248
155	1854	22222
156	1864	22184
157	1874	22147
158	1884	22112
159	1895	22090
160	1904	22053
161	1913	22008
162	1921	21955
163	1932	21932
164	1943	21907
165	1952	21869
166	1965	21865
167	1976	21850
168	1990	21860
169	2000	21832
170	2009	21789
171	2018	21746
172	2027	21703
173	2037	21672
174	2048	21657
175	2063	21676
176	2083	21750
177	2103	21826
178	2118	21852
179	2132	21861
180	2148	21886
181	2161	21888
182	2175	21896
183	2190	21921
184	2206	21949
185	2219	21948
186	2233	21952
187	2245	21936
188	2253	21893
189	2264	21872
190	2274	21837
191	2282	21789
192	2292	21765
193	2302	21734
194	2311	21691
195	2320	21656
196	2329	21615
197	2340	21595
198	2350	21570
199	2361	21551
200	2372	21529
201	2382	21503
202	2392	21471
203	2401	21433
204	2409	21395
205	2421	21384
206	2430	21345
207	2439	21306
208	2447	21262
209	2455	21223
210	2464	21186
211	2472	21147
212	2482	21118
213	2493	21103
214	2506	21097
215	2516	21074
216	2527	21062
217	2538	21038
218	2548	21016
219	2558	20987
220	2566	20952
221	2576	20924
222	2586	20899
223	2595	20868
224	2605	20842
225	2616	20823
226	2628	20816
227	2638	20795
228	2648	20773
229	2658	20745
230	2666	20710
231	2675	20678
232	2689	20681
233	2699	20660
234	2708	20629
235	2722	20635
236	2735	20637
237	2746	20624
238	2759	20619
239	2768	20591
240	2778	20565
241	2789	20550
242	2798	20522
243	2809	20504
244	2819	20482
245	2828	20454
246	2841	20453
247	2852	20439
248	2864	20429
249	2879	20441
250	2892	20444
251	2907	20457
252	2919	20446
253	2932	20445
254	2943	20431
255	2952	20400
256	2961	20374
257	2971	20351
258	2981	20327
259	2991	20306
260	3003	20296
261	3014	20287
262	3030	20302
263	3046	20320
264	3057	20307
265	3069	20299
266	3083	20305
267	3095	20297
268	3106	20279
269	3116	20257
270	3125	20229
271	3136	20214
272	3151	20228
273	3166	20235
